
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:10:00.576  7945  7975 I Unity   : [STATISTIC]383;15684844;15684531;846577664;15982592;1453201919;0;0;0;311146;131563;0;0;0;0;0;132815;0;0;6390313;2681094;0;0;1975260;36;27;0.01569583;
07-15 17:10:00.590  7945  7975 I Unity   : [STATISTIC]384;17750156;17749792;848809984;15982592;1469994467;0;0;0;239687;90781;0;604115;0;0;0;307916;0;0;5767135;3524375;0;0;2093698;37;27;0.01776068;
07-15 17:10:00.603  7945  7975 I Unity   : [STATISTIC]385;10795000;10794635;851034112;15982592;1470007459;0;0;0;125364;68177;0;412344;0;0;0;154326;0;0;1416563;2145416;0;0;2266146;38;27;0.01080323;
07-15 17:10:00.616  7945  7975 I Unity   : [STATISTIC]386;13365313;13364896;853168128;15982592;1470028675;0;0;0;138490;38489;0;396198;0;0;0;134171;0;0;4011718;2429688;0;0;2019271;39;27;0.01337594;
07-15 17:10:00.631  7945  7975 I Unity   : [STATISTIC]387;11694219;11693750;853168128;15982592;1470033507;0;0;0;0;56927;0;423750;0;0;0;129319;0;0;3722552;1327917;0;0;2102500;39;27;0.01170641;
07-15 17:10:00.645  7945  7975 I Unity   : [STATISTIC]388;15791823;15791407;853336064;15982592;1470033507;0;0;0;0;65312;0;0;0;0;0;120781;0;0;6381511;959062;0;0;3775313;39;27;0.01579573;
07-15 17:10:00.658  7945  7975 I Unity   : [STATISTIC]389;13226667;13226354;853336064;15982592;1470033507;0;0;0;0;57083;0;336563;0;0;0;139896;0;0;4922917;1196406;0;0;2158594;39;27;0.01325995;
07-15 17:10:00.674  7945  7975 I Unity   : [STATISTIC]390;14264115;14263645;855474176;15982592;1470055823;0;0;0;724739;68281;0;417395;0;0;0;145831;0;0;4645000;2445885;0;0;1915468;40;27;0.01427656;
07-15 17:10:00.686  7945  7975 I Unity   : [STATISTIC]391;18030938;18030520;857776128;15982592;1470080399;0;0;0;205156;85729;0;619114;0;0;0;228906;0;48437;5863646;4592865;0;0;1679010;41;27;0.01804198;
07-15 17:10:00.699  7945  7975 I Unity   : [STATISTIC]392;10273438;10272761;860012544;15982592;1486878863;0;0;0;231458;64062;0;405156;0;0;0;150674;0;0;451250;2671093;0;0;1976406;42;27;0.01028245;
07-15 17:10:00.712  7945  7975 I Unity   : [STATISTIC]393;11135104;11134584;860012544;15982592;1486883727;0;0;0;0;36145;0;436250;0;0;0;141355;0;0;3439844;1183125;0;0;2131823;42;27;0.01114703;
07-15 17:10:00.728  7945  7975 I Unity   : [STATISTIC]394;17047239;17046719;862109696;15982592;1486894103;0;0;0;404271;146354;0;0;0;0;0;475470;0;0;5462916;3717656;0;0;1951355;43;27;0.01705849;
07-15 17:10:00.742  7945  7975 I Unity   : [STATISTIC]395;13099583;13098958;864698368;15982592;1486949891;0;0;0;305677;114584;0;460208;0;0;0;172606;0;0;3882761;2229427;0;0;1979948;44;27;0.01310974;
07-15 17:10:00.755  7945  7975 I Unity   : [STATISTIC]396;13960782;13960312;866828288;15982592;1486985439;0;0;0;758906;89739;0;350937;0;0;0;188903;0;0;4487291;2096093;0;0;2154792;45;27;0.0139713;
07-15 17:10:00.768  7945  7975 I Unity   : [STATISTIC]397;13876198;13875729;868876288;15982592;1486990367;0;0;0;283021;62500;0;458907;0;0;0;167184;0;0;4085000;2739375;0;0;1928073;46;27;0.01389193;
07-15 17:10:00.781  7945  7975 I Unity   : [STATISTIC]398;10248958;10246927;869031936;15982592;1486990367;0;0;0;0;36875;0;413907;0;0;0;155936;0;0;2813386;945312;0;0;1941875;46;27;0.0102451;
07-15 17:10:00.797  7945  7975 I Unity   : [STATISTIC]399;13568542;13568073;869031936;15982592;1486949139;0;0;0;0;40469;0;408594;0;0;0;171194;0;0;5867500;1193333;0;0;1945364;46;27;0.01361021;
